3300.0,'2404247020': -1, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
3325.0,'2404247020': -1, '2404247023': -10,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 10,
3350.0,'2404247020': -5, '2404247023': -11,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 11,
3375.0,'2404247020': -6, '2404247023': -14,'2404247020': 3, '2404247023': 5,'2404247020': 6, '2404247023': 14,
3400.0,'2404247020': -1, '2404247023': -13,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 13,
3425.0,'2404247020': -1, '2404247023': -16,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 16,
3450.0,'2404247020': 0, '2404247023': -13,'2404247020': 1, '2404247023': 6,'2404247020': 2, '2404247023': 14,
3475.0,'2404247020': -1, '2404247023': -15,'2404247020': 2, '2404247023': 6,'2404247020': 4, '2404247023': 15,
3500.0,'2404247020': 5, '2404247023': -20,'2404247020': 1, '2404247023': 6,'2404247020': 2, '2404247023': 21,
3525.0,'2404247020': 0, '2404247023': -9,'2404247020': 0, '2404247023': 5,'2404247020': 0, '2404247023': 9,
3550.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
3575.0,'2404247020': -3, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
3600.0,'2404247020': 4, '2404247023': -11,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 11,
