2925.0,'2404247020': -54.0, '2404247023': -29.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
2950.0,'2404247020': -13.0, '2404247023': -12.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2975.0,'2404247020': -31.0, '2404247023': -26.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
3000.0,'2404247020': -29.0, '2404247023': -15.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3025.0,'2404247020': -14.0, '2404247023': -24.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3050.0,'2404247020': -58.0, '2404247023': -11.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
3075.0,'2404247020': -18.0, '2404247023': -42.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
3100.0,'2404247020': -40.0, '2404247023': -29.0,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3125.0,'2404247020': -6.0, '2404247023': -42.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
3150.0,'2404247020': -31.0, '2404247023': -45.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
3175.0,'2404247020': -17.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3200.0,'2404247020': -23.0, '2404247023': -11.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
3225.0,'2404247020': -9.0, '2404247023': -13.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
3250.0,'2404247020': -16.0, '2404247023': -38.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
3275.0,'2404247020': -88.0, '2404247023': -25.0,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 2,
3300.0,'2404247020': -19.0, '2404247023': -26.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
3325.0,'2404247020': 0, '2404247023': -62.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
3350.0,'2404247020': -19.0, '2404247023': -34.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3375.0,'2404247020': 0, '2404247023': -45.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
3400.0,'2404247020': -5.0, '2404247023': -65.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
3425.0,'2404247020': -19.0, '2404247023': -69.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
3450.0,'2404247020': -13.0, '2404247023': -25.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3475.0,'2404247020': -30.0, '2404247023': -20.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
3500.0,'2404247020': -33.0, '2404247023': -35.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
3525.0,'2404247020': -14.0, '2404247023': -10.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
3550.0,'2404247020': -56.0, '2404247023': -20.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
3575.0,'2404247020': -27.0, '2404247023': -7.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3600.0,'2404247020': -25.0, '2404247023': -41.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
